name,school,place,category
 Charla Adkison , Kinston High School ," Kinston , Alabama ", 1985 Award | 7-12 Science 
 Kathleen Couchon , Narragansett Pier Middle School ," Narragansett , Rhode Island ", 2005 Award | 7-12 Science 
 Luther Davis III , Lake Mary High School ," Lake Mary , Florida ", 2005 Award | 7-12 Science 
 Steven DeAngelis , Maranacook Community High School ," Readfield , Maine ", 2005 Award | 7-12 Science 
 Joyce Deer , Oak Grove High School ," Hattiesburg , Mississippi ", 2005 Award | 7-12 Mathematics 
 Peggy Deichstetter , St. Edward High School ," Elgin , Illinois ", 2005 Award | 7-12 Science 
 Sharon Densler , Central Middle School ," Dover , Delaware ", 2005 Award | 7-12 Science 
 Kevin DeVizia , Delaware Valley High School ," Milford , Pennsylvania ", 2005 Award | 7-12 Mathematics 
 Donna Didsbury , Brookfield High School ," Brookfield , Connecticut ", 2005 Award | 7-12 Mathematics 
 Jeremy Dove , Monticello High School ," Charlottesville , Virginia ", 2005 Award | 7-12 Science 
 Zoe Evans , Central Middle School ," Carrollton , Georgia ", 2005 Award | 7-12 Science 
 Mark Farrand , Rapid City Central High School ," Rapid City , South Dakota ", 2005 Award | 7-12 Science 
 Brian Farrell , Seoul American Middle School ," APO , Armed Forces Pacific ", 2005 Award | 7-12 Science 
 Susan Forster , Bismarck High School ," Bismarck , North Dakota ", 2005 Award | 7-12 Mathematics 
 Karla Gade , Eldorado High School ," Albuquerque , New Mexico ", 2005 Award | 7-12 Mathematics 
 Bonnie Gendaszek , John Witherspoon Middle School ," Princeton , New Jersey ", 2005 Award | 7-12 Mathematics 
 Julia Gooding , Hopewell High School ," Aliquippa , Pennsylvania ", 2005 Award | 7-12 Science 
 Mary Hand , Liberty Middle School ," Madison , Alabama ", 2005 Award | 7-12 Mathematics 
 Cindy Hasselbring , Milan High School ," Milan , Michigan ", 2005 Award | 7-12 Mathematics 
 Christine Herald , Eisenhower Middle School ," Manhattan , Kansas ", 2005 Award | 7-12 Science 
 Susana Hernandez , Automotive High School ," Brooklyn , New York ", 2005 Award | 7-12 Science 
 Sylvia Hernandez , Juan Suarez Pelegrina ," San Antonio , Puerto Rico ", 2005 Award | 7-12 Mathematics 
 Philip Holley , Mountain Brook Junior High School ," Birmingham , Alabama ", 2005 Award | 7-12 Science 
 Suzanne Hossler , Victoria Fertitta Middle School ," Las Vegas , Nevada ", 2005 Award | 7-12 Mathematics 
 Jane Hunn , Tippecanoe Valley Middle School ," Akron , Indiana ", 2005 Award | 7-12 Science 
 Kristin Johnson , Lefler Middle School ," Lincoln , Nebraska ", 2005 Award | 7-12 Mathematics 
 Jennifer Kennison , Bellows Free Academy ," St. Albans , Vermont ", 2005 Award | 7-12 Science 
 Mary Kollmeyer , Lejeune High School ," Camp Lejeune , North Carolina ", 2005 Award | 7-12 Mathematics 
 Dana Krejcarek , Kohler High School ," Kohler , Wisconsin ", 2005 Award | 7-12 Science 
 Crystal Lancour , Gauger-Cobbs Middle School ," Newark , Delaware ", 2005 Award | 7-12 Mathematics 
 Debra Las , John Adams Middle School ," Rochester , Minnesota ", 2005 Award | 7-12 Science 
 Christopher Lewick , Byram Hills High School ," Armonk , New York ", 2005 Award | 7-12 Mathematics 
 Cherie Long , Eagle&apos;s Landing Middle ," McDonough , Georgia ", 2005 Award | 7-12 Mathematics 
 Michael Lowry , The McCallie School ," Chattanooga , Tennessee ", 2005 Award | 7-12 Science 
 Lois Lyons , High Technology High School ," Lincroft , New Jersey ", 2005 Award | 7-12 Science 
 John Madden , Mountain View High School ," Tucson , Arizona ", 2005 Award | 7-12 Science 
 Alison Mall , Bartlett High School ," Anchorage , Alaska ", 2005 Award | 7-12 Mathematics 
 Loujeania Maynus , Collins Middle School ," Oak Hill , West Virginia ", 2005 Award | 7-12 Mathematics 
 Jacqueline McDonald , Billings Senior High ," Billings , Montana ", 2005 Award | 7-12 Mathematics 
 Lyneille Meza , Strickland Middle School ," Denton , Texas ", 2005 Award | 7-12 Mathematics 
 Jeanine Nakakura , Moanalua High School ," Honolulu , Hawaii ", 2005 Award | 7-12 Science 
 Lawrence Neznanski , Bishop Kelly High School ," Boise , Idaho ", 2005 Award | 7-12 Science 
 Edward Nolan , Julius West Middle School ," Rockville , Maryland ", 2005 Award | 7-12 Mathematics 
 Barry Olson , Ben Franklin Middle School ," Fargo , North Dakota ", 2005 Award | 7-12 Science 
 Judith Onslow , Girdwood Elementary/Jr. High School ," Girdwood , Alaska ", 2005 Award | 7-12 Science 
 Aileen Ortega , FB Leon Guerrero Middle School ," Yigo , Guam ", 2005 Award | 7-12 Science 
 Julie Owens , El Reno High School ," El Reno , Oklahoma ", 2005 Award | 7-12 Mathematics 
 Nancy Owens Schunke , Dunbar Junior High Math/Science Academy ," Lubbock , Texas ", 2005 Award | 7-12 Science 
 Michelle Parks , Northstar Middle School ," Eau Claire , Wisconsin ", 2005 Award | 7-12 Mathematics 
 Melissa Payne , Jeffersontown High School Magnet Career Academy ," Jeffersontown , Kentucky ", 2005 Award | 7-12 Science 
 Jonathan Pilarca , John F. Kennedy High School ," Tamuning , Guam ", 2005 Award | 7-12 Mathematics 
 Lea Ann Pitcher , Lee&apos;s Summit High School ," Lee&apos;s Summit , Missouri ", 2005 Award | 7-12 Mathematics 
 Cathie Pollack , Haverhill High School ," Haverhill , Massachusetts ", 2005 Award | 7-12 Mathematics 
 Kimberly Puckett , Tri-Village Jr/Sr High School ," New Madison , Ohio ", 2005 Award | 7-12 Mathematics 
 Heidi Ringer , Skyline High School ," Longmont , Colorado ", 2005 Award | 7-12 Mathematics 
 Carmen Ruiz , Central de Artes Visuales ," San Juan , Puerto Rico ", 2005 Award | 7-12 Science 
 James Rynearson , Lincoln High School ," Lincoln , Nebraska ", 2005 Award | 7-12 Science 
 Robert Schlichting , Cleveland High School ," Portland , Oregon ", 2005 Award | 7-12 Science 
 Paula Schmitt , Madison Meadows School ," Phoenix , Arizona ", 2005 Award | 7-12 Mathematics 
 Linda Seeger , Okoboji High School ," Milford , Iowa ", 2005 Award | 7-12 Mathematics 
 Bret Sibley , Green Valley High School ," Henderson , Nevada ", 2005 Award | 7-12 Science 
 Audrey Smalley , Derby High School ," Derby , Kansas ", 2005 Award | 7-12 Mathematics 
 Judy Snyder , Eastside High School ," Taylors , South Carolina ", 2005 Award | 7-12 Mathematics 
 Meghan Southworth , Troy Howard Middle School ," Belfast , Maine ", 2005 Award | 7-12 Mathematics 
 Danielle Spaete , Pleasant Valley High School ," Pleasant Valley , Iowa ", 2005 Award | 7-12 Science 
 Rhonda Spidell , Albuquerque Academy ," Albuquerque , New Mexico ", 2005 Award | 7-12 Science 
 Kristen Springfield , Sanford Middle School ," Sanford , Florida ", 2005 Award | 7-12 Mathematics 
 Thomas Stahley , Skyview High School ," Billings , Montana ", 2005 Award | 7-12 Science 
 Millicent Stender , Big Horn High School ," Big Horn , Wyoming ", 2005 Award | 7-12 Science 
 Karen Stiner , High Desert Middle School ," Bend , Oregon ", 2005 Award | 7-12 Mathematics 
 Ann Sullivan , Oak Grove High School ," Hattiesburg , Mississippi ", 2005 Award | 7-12 Science 
 Gregory Superchi , Lisbon Regional School ," Lisbon , New Hampshire ", 2005 Award | 7-12 Mathematics 
 Bradford Talbert , Pleasant Grove High School ," Pleasant Grove , Utah ", 2005 Award | 7-12 Science 
 June Teisan , Harper Woods Secondary School ," Harper Woods , Michigan ", 2005 Award | 7-12 Science 
 June Thall , Remington Middle School ," Franklin , Massachusetts ", 2005 Award | 7-12 Science 
 Melissa Timmons , Johnsonville High School ," Johnsonville , South Carolina ", 2005 Award | 7-12 Science 
 Charre Todd , Norman Junior High School ," Crossett , Arkansas ", 2005 Award | 7-12 Science 
 Thomas Trang , Centennial High School ," Columbus , Ohio ", 2005 Award | 7-12 Science 
 Dorothy Ulmer , Vidalia High School ," Vidalia , Louisiana ", 2005 Award | 7-12 Mathematics 
 Samuel Wheeler , Southeast Raleigh Magnet High School ," Raleigh , North Carolina ", 2005 Award | 7-12 Science 
 Leora White , West Middle School ," Nampa , Idaho ", 2005 Award | 7-12 Mathematics 
 Carolyn Williamson , Lee-Davis High School ," Mechanicsville , Virginia ", 2005 Award | 7-12 Mathematics 
 Carmen Wilson , Ashe County High School ," West Jefferson , North Carolina ", 2005 Award | 7-12 Mathematics 
 Ann Wright-Mockler , Richland High School ," Richland , Washington ", 2005 Award | 7-12 Science 
 Mark Yates , The McCallie School ," Chattanooga , Tennessee ", 2005 Award | 7-12 Mathematics 
 Paula Young , Francis Howell North High School ," St. Charles , Missouri ", 2005 Award | 7-12 Science 
,,,
 Robert Anderson , Green Valley High School ," Henderson , Nevada ", 2003 Award | 7-12 Science 
 Nancy Arroyo , Riverside High School ," El Paso , Texas ", 2003 Award | 7-12 Mathematics 
 Louise Audette , Somers High School ," Somers , Connecticut ", 2003 Award | 7-12 Mathematics 
 John Bakelaar , Peeples Middle School ," Jackson , Mississippi ", 2003 Award | 7-12 Mathematics 
 Joan Baltezore , West Fargo High School ," West Fargo , North Dakota ", 2003 Award | 7-12 Science 
 William Barnes , Ridgely Middle School ," Lutherville , Maryland ", 2003 Award | 7-12 Mathematics 
 Joann Barnett , Ozark Junior High School ," Ozark , Missouri ", 2003 Award | 7-12 Mathematics 
 Anita Bernhardt , Falmouth Middle School ," Falmouth , Maine ", 2003 Award | 7-12 Science 
 Myrna Bornemeier , Lux Middle School ," Lincon , Nebraska ", 2003 Award | 7-12 Mathematics 
 Jeffrey Bradley , Slauson Middle School ," Ann Arbor , Michigan ", 2003 Award | 7-12 Science 
 Kevin Brasser , South O&apos;Brien Community High School ," Paullina , Iowa ", 2003 Award | 7-12 Science 
 Gail Bromiley-McGee , DeBakey High School for Health Professions ," Houston , Texas ", 2003 Award | 7-12 Science 
 Christine Brothers , Falmouth High School ," Falmouth , Massachusetts ", 2003 Award | 7-12 Science 
 Denise Brown , East Prairie School ," Tuscola , Illinois ", 2003 Award | 7-12 Mathematics 
 David Brumfield , Copley- Fairlawn Middle School ," Copley , Ohio ", 2003 Award | 7-12 Science 
 Margaret Burak , Crook County Middle School ," Prineville , Oregon ", 2003 Award | 7-12 Mathematics 
 Amy Burks , Corinth High School ," Corinth , Mississippi ", 2003 Award | 7-12 Science 
 Jeanina Butcher-Ice , Fairmont Senior High School ," Fairmont , West Virginia ", 2003 Award | 7-12 Mathematics 
 Rebecca Caison , Walter M. Williams High School ," Burlington , North Carolina ", 2003 Award | 7-12 Mathematics 
 Timothy Cantley , Sacred Hearts Academy ," Honolulu , Hawaii ", 2003 Award | 7-12 Mathematics 
 Jeffrey Chaffee , Horace Middle School @ Sullivan Middle School ," Franklin , Massachusetts ", 2003 Award | 7-12 Mathematics 
 Jason Cushner , , Colorado , 2003 Award | 7-12 Mathematics 
 Wendy Ehnert , Austin E. Lathrop High School ," Fairbanks , Alaska ", 2003 Award | 7-12 Science 
 Mary Ellsworth , Model Secondary School for the Deaf ," Washington , District of Columbia ", 2003 Award | 7-12 Science 
 John Emerson , Jaffrey-Ridge Middle School ," Jaffrey , New Hampshire ", 2003 Award | 7-12 Mathematics 
 Ana England , Lakeview Middle School ," Watsonville , California ", 2003 Award | 7-12 Mathematics 
 Janet English , Serrano Intermediate School ," Lake Forest , California ", 2003 Award | 7-12 Science 
 Susan Fennelly , Wethersfield High School ," Wethersfield , Connecticut ", 2003 Award | 7-12 Science 
 Nancy Foote , Desert Hills High School ," Gilbert , Arizona ", 2003 Award | 7-12 Mathematics 
 Sue Fountain , Louisville Male High School ," Louisville , Kentucky ", 2003 Award | 7-12 Mathematics 
 Mary Gavioli , Clarkstown High School South ," West Nyack , New York ", 2003 Award | 7-12 Mathematics 
 Karen Gill , Henry Clay High School ," Lexington , Kentucky ", 2003 Award | 7-12 Science 
 Wayne Goates , Dwight D. Eisenhower Middle School ," Goddard , Kansas ", 2003 Award | 7-12 Science 
 Heather Godine , Central York High School ," York , Pennsylvania ", 2003 Award | 7-12 Mathematics 
 Linda Graf , Kittitas Secondary School ," Kittitas , Washington ", 2003 Award | 7-12 Mathematics 
 Debra Greenstone , Mount Plesant High School ," Wilmington , Delaware ", 2003 Award | 7-12 Science 
 Florence Gullickson , Southwest Guilford High School ," High Point , North Carolina ", 2003 Award | 7-12 Science 
 Alan Hays , Genoa Central High School ," Texarkana , Arkansas ", 2003 Award | 7-12 Science 
 Scott Hendrickson , Lone Peak High School ," Highland , Utah ", 2003 Award | 7-12 Mathematics 
 JoAnn Hiatt , Olathe East High School ," Olathe , Kansas ", 2003 Award | 7-12 Mathematics 
 Nancy Hollis , Spain Park High School ," Hoover , Alabama ", 2003 Award | 7-12 Mathematics 
 Janice Hudson , Columbus High School ," Columbus , Georgia ", 2003 Award | 7-12 Science 
 Steven Isaak , Bonanza High School ," Las Vegas , Nevada ", 2003 Award | 7-12 Mathematics 
 Mary Jumonville , Episcopal School of Acadiana ," Broussard , Louisiana ", 2003 Award | 7-12 Mathematics 
 Jeremy Kessenich , Mount Horeb High School ," Mount Horeb , Wisconsin ", 2003 Award | 7-12 Mathematics 
 Kristin Klenk , South Kingstown HIgh School ," Wakefield , Rhode Island ", 2003 Award | 7-12 Science 
 Robert Kotran , William Allen High School ," Allentown , Pennsylvania ", 2003 Award | 7-12 Science 
 Harlan Kredit , Lynden Christian High School ," Lynden , Washington ", 2003 Award | 7-12 Science 
 David Kreutz , Burlington High School ," Burlington , Wisconsin ", 2003 Award | 7-12 Science 
 Ellen LeBlanc , High Technology High School ," Lincroft , New Jersey ", 2003 Award | 7-12 Mathematics 
 Patty Littlejohn , Freedom Middle ," Franklin , Tennessee ", 2003 Award | 7-12 Science 
 Heather Marshall , Towns County Middle School ," Hiawassee , Georgia ", 2003 Award | 7-12 Mathematics 
 Lori Martin , Norman High School ," Norman , Oklahoma ", 2003 Award | 7-12 Mathematics 
 Patricia Mason , Delphi Community High School ," Delphi , Indiana ", 2003 Award | 7-12 Science 
 Cherie Matheson , Davidson Middle School ," Crestview , Florida ", 2003 Award | 7-12 Mathematics 
 Timothy McCollum , Charleston Middle School ," Charleston , Illinois ", 2003 Award | 7-12 Science 
 Jane Meade , , Virgin Islands , 2003 Award | 7-12 Science 
 Ethan Medley , Franklin High School ," Portland , Oregon ", 2003 Award | 7-12 Science 
 Barkley Melber , Selbyville Middle School ," Selbyville , Delaware ", 2003 Award | 7-12 Mathematics 
 Jan Moore , Winamac Community High School ," Winamac , Indiana ", 2003 Award | 7-12 Mathematics 
 Wendy Moore , Crossett Brook Middle School ," Duxbury , Vermont ", 2003 Award | 7-12 Science 
 Egda Morales , Gabriela Mistral High School ," San Juan , Puerto Rico ", 2003 Award | 7-12 Science 
 Angela Newing , Forsythe Middle School ," Ann Arbor , Michigan ", 2003 Award | 7-12 Mathematics 
 Donna Peterson , Belle Fourche Middle School ," Belle Fourche , South Dakota ", 2003 Award | 7-12 Mathematics 
 Pascale Pinner , Hilo Intermediate School ," Hilo , Hawaii ", 2003 Award | 7-12 Science 
 Catherine Raziano , Zachary High School ," Zachary , Louisiana ", 2003 Award | 7-12 Science 
 Edward Richards , Filer High School ," Filer , Idaho ", 2003 Award | 7-12 Science 
 Jonathan Roland , Perry Hall High School ," Baltimore , Maryland ", 2003 Award | 7-12 Science 
 Paul Rutherford , Summit Technology Academy ," Lee&apos;s Summit , Missouri ", 2003 Award | 7-12 Science 
 Mark Ryan , Willow Creek Middle School ," Rochester , Minnesota ", 2003 Award | 7-12 Science 
 Renee Sanders , Johnsville High School ," Johnsonville , South Carolina ", 2003 Award | 7-12 Science 
 Meritiana Savea , Matafao Elementary School ," Fagaalu , American Samoa ", 2003 Award | 7-12 Mathematics 
 Anna Scanlon , McNair Middle School ," Fayetteville , Arkansas ", 2003 Award | 7-12 Mathematics 
 Debra Scarpelli , Slater Junior High School ," Pawtucket , Rhode Island ", 2003 Award | 7-12 Mathematics 
 Patsy Schlosser , Edgeley Public School ," Edgeley , North Dakota ", 2003 Award | 7-12 Mathematics 
 Jenny Seawright , Cherokee Trail Elementary ," Donalds , South Carolina ", 2003 Award | 7-12 Mathematics 
 Yoosuf Siddiqui , Maine School of Science and Mathematics ," Limestone , Maine ", 2003 Award | 7-12 Mathematics 
 Daniel Sitzman , North High School ," Omaha , Nebraska ", 2003 Award | 7-12 Science 
 Emma Smith , Box Elder High School ," Brigham City , Utah ", 2003 Award | 7-12 Science 
 Wendy Smith , Powell High School ," Powell , Wyoming ", 2003 Award | 7-12 Science 
 Alicia Spears , Spring Valley High ," Huntington , West Virginia ", 2003 Award | 7-12 Science 
 Frances Sprankle , Brooke Point High School ," Stafford , Virginia ", 2003 Award | 7-12 Mathematics 
 Marilyn Steneken , Sparta Middle School ," Sparta , New Jersey ", 2003 Award | 7-12 Science 
 Samantha Stevens , Grundy County High School ," Coalmont , Tennessee ", 2003 Award | 7-12 Mathematics 
 Susie Stevens , Latta High School ," Ada , Oklahoma ", 2003 Award | 7-12 Science 
 Sally Stoll , Vermillion Middle School ," Vermillion , South Dakota ", 2003 Award | 7-12 Science 
 Charles Strauss , Chugiak High School ," Eagle River , Alaska ", 2003 Award | 7-12 Mathematics 
 Teresa Stricklin , Kelly Walsh High School ," Casper , Wyoming ", 2003 Award | 7-12 Mathematics 
 Judith Stucki , Wayzata High School ," Plymouth , Minnesota ", 2003 Award | 7-12 Mathematics 
 Virginia Swenson , Ames High School ," Ames , Iowa ", 2003 Award | 7-12 Mathematics 
 Beth Thomas , East Middle School ," Great Falls , Montana ", 2003 Award | 7-12 Science 
 Rita Truelove , John J Wright Middle School ," Spotsylvania , Virginia ", 2003 Award | 7-12 Science 
 Patricia Waddell , Rigby High School ," Rigby , Idaho ", 2003 Award | 7-12 Mathematics 
 Deborah Wasylik , Dr. Phillips High School ," Orlando , Florida ", 2003 Award | 7-12 Science 
 Mary Wren , Paris Gibson Middle School ," Great Falls , Montana ", 2003 Award | 7-12 Mathematics 
